Timestamp,Actor,Target,Spell,Aura Apply,White Damage,White Crit,Yellow Damage,Yellow Crit,Consecutive Crit,Buffer Income,Observed Buffer,Expected Buffer,Observed Tick,Expected Tick,Buffer Delta,Tick Delta,Delta Ratio,Remaining Deep Wound Tick,Vomit Before,Vomit After,Vomit Before Bonus,Vomit After Bonus,Munched,Munched Bonus,Total Observed Tick,Total Expected Tick,Total Tick Damage Delta,Total Vomit Before,Total Vomit After,Total Munched Bonus
5/8 16:07:23.693,Player-4904-00822A31,BUFF,Death Wish,1,,,,,2,0,0,0,,,,,,0,,,,,,,4514,4512.502515432098,1.4974845679016653,0.0,0.015138888888941437,0.0
5/8 16:07:23.844,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,867.0,nil,0,0,4335.0,4331.681237139918,867.0,866.3362474279837,3.3187628600817334,0.6637525720162785,5.0,5,,,,,,,5381,5378.838762860082,2.16123713991783,0.0,0.015138888888941437,0.0
5/8 16:07:24.306,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee MH Crit,,3588.0,1,1.0,,1,1226.5919999999999,4335.0,5558.273237139918,,,,,,6,,,,,,,5381,5378.838762860082,2.16123713991783,0.0,0.015138888888941437,0.0
5/8 16:07:24.306,Player-4904-00822A31,BUFF,Bloodthirst,0,,,,,1,0,0,0,,,,,,0,,,,,,,5381,5378.838762860082,2.16123713991783,0.0,0.015138888888941437,0.0
5/8 16:07:25.237,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,0000000000000000,,1211.0,nil,1.0,,1,0,4335.0,5558.273237139918,,,,,,6,,,,,,,5381,5378.838762860082,2.16123713991783,0.0,0.015138888888941437,0.0
5/8 16:07:25.418,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,927.0,nil,0,0,4635.0,4631.894364283265,927.0,926.378872856653,3.105635716735378,0.6211271433470529,5.0,5,,True,,-0.042625428669225585,,,6308,6305.2176357167355,2.782364283264542,0.0,-0.027486539780284147,0.0
5/8 16:07:25.418,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Whirlwind,,118.0,0,4927.0,1,1,1226.5919999999999,4635.0,5858.486364283264,,,,,,6,,,,,,,6308,6305.2176357167355,2.782364283264542,0.0,-0.027486539780284147,0.0
5/8 16:07:25.418,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Whirlwind,,118.0,0,3075.0,1,2,766.62,4635.0,6625.106364283264,,,,,,6,,,,,True,,6308,6305.2176357167355,2.782364283264542,0.0,-0.027486539780284147,0.0
5/8 16:07:26.502,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,1104.0,nil,0,0,5520.0,5520.921970236053,1104.0,1104.1843940472106,-0.921970236053312,-0.18439404721061692,5.0,5,,,,,,-0.8055211905576698,7412,7409.402029763946,2.5979702360536976,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:26.816,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Heroic Strike,,118.0,0,2222.0,nil,0,0,5520.0,5520.921970236053,,,,,,5,,,,,,,7412,7409.402029763946,2.5979702360536976,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:26.922,Player-4904-00822A31,BUFF,Heightened Reflexes,0,,,,,0,0,0,0,,,,,,0,,,,,,,7412,7409.402029763946,2.5979702360536976,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:27.046,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Bloodthirst,,118.0,0,4968.0,1,1,1226.5919999999999,5520.0,6747.513970236053,,,,,,6,,,,,,,7412,7409.402029763946,2.5979702360536976,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:27.046,Player-4904-00822A31,BUFF,Bloodthirst,1,,,,,1,0,0,0,,,,,,0,,,,,,,7412,7409.402029763946,2.5979702360536976,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:27.614,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,0000000000000000,,1100.0,nil,1.0,,1,0,5520.0,6747.513970236053,,,,,,6,,,,,,,7412,7409.402029763946,2.5979702360536976,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:28.093,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,1125.0,nil,0,0,5625.0,5622.928308530044,1125.0,1124.5856617060088,2.071691469956022,0.4143382939912499,5.0,5,,,,,,,8537,8533.987691469954,3.0123085300456296,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:28.959,Player-4904-00822A31,BUFF,Hyperspeed Acceleration,0,,,,,0,0,0,0,,,,,,0,,,,,,,8537,8533.987691469954,3.0123085300456296,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:29.084,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,1125.0,nil,0,0,4500.0,4498.342646824035,1125.0,1124.5856617060088,1.6573531759649995,0.4143382939912499,4.0,4,,,,,,,9662,9658.573353175963,3.426646824036652,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:29.387,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Heroic Strike,,118.0,0,2147.0,nil,0,0,4500.0,4498.342646824035,,,,,,4,,,,,,,9662,9658.573353175963,3.426646824036652,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:29.387,Player-4904-00822A31,BUFF,Bloodthirst,0,,,,,0,0,0,0,,,,,,0,,,,,,,9662,9658.573353175963,3.426646824036652,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:30.010,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,1125.0,nil,0,0,3375.0,3373.756985118026,1125.0,1124.5856617060088,1.243014881973977,0.4143382939912499,3.0,3,,,,,,,10787,10783.159014881972,3.8409851180276746,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:30.308,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee OH Crit,,2236.0,1,1.0,,1,766.62,3375.0,4140.376985118026,,,,,,6,,,,,,,10787,10783.159014881972,3.8409851180276746,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:31.262,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Bloodthirst,,118.0,0,4967.0,1,2,1226.5919999999999,3375.0,5366.968985118026,,,,,,6,,,,,,,10787,10783.159014881972,3.8409851180276746,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:31.262,Player-4904-00822A31,BUFF,Bloodthirst,1,,,,,2,0,0,0,,,,,,0,,,,,,,10787,10783.159014881972,3.8409851180276746,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:31.633,Player-4904-00822A31,DEBUFF,Rend,0,,,,,2,0,0,0,,,,,,0,,,,,,,10787,10783.159014881972,3.8409851180276746,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:32.181,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Heroic Strike,,118.0,0,2193.0,nil,2,0,3375.0,5366.968985118026,,,,,,6,,,,,,,10787,10783.159014881972,3.8409851180276746,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:32.361,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,895.0,nil,0,0,4475.0,4472.474154265021,895.0,894.4948308530043,2.525845734979157,0.5051691469957404,5.0,5,,,,,,,11682,11677.653845734976,4.34615426502387,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:33.361,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,894.0,nil,0,0,3576.0,3577.9793234120166,894.0,894.4948308530043,-1.9793234120165835,-0.49483085300425955,4.0,4,,,,,,,12576,12572.14867658798,3.851323412020065,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:34.355,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,894.0,nil,0,0,2682.0,2683.4844925590123,894.0,894.4948308530043,-1.484492559012324,-0.49483085300425955,3.0,3,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:34.977,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee MH Crit,,3526.0,1,1.0,,1,1226.5919999999999,2682.0,3910.076492559012,,,,,,6,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:34.977,Player-4904-00822A31,BUFF,Bloodthirst,0,,,,,1,0,0,0,,,,,,0,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:35.220,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Whirlwind,,118.0,0,2418.0,nil,1,0,2682.0,3910.076492559012,,,,,,6,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:35.220,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Whirlwind,,118.0,0,1247.0,nil,1,0,2682.0,3910.076492559012,,,,,,6,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:35.221,Player-4904-00822A31,BUFF,Slam!,1,,,,,1,0,0,0,,,,,,0,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:35.904,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee OH Crit,,2444.0,1,1.0,,2,766.62,2682.0,4676.696492559012,,,,,,6,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:36.718,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Bloodthirst,,118.0,0,2186.0,nil,2,0,2682.0,4676.696492559012,,,,,,6,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:36.718,Player-4904-00822A31,BUFF,Bloodthirst,1,,,,,2,0,0,0,,,,,,0,,,,,,,13470,13466.643507440984,3.35649255901626,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:36.927,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,780.0,nil,0,0,3900.0,3897.2470771325097,780.0,779.449415426502,2.7529228674902697,0.5505845734979857,5.0,5,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:37.719,Player-4904-00822A31,BUFF,Heightened Reflexes,1,,,,,0,0,0,0,,,,,,0,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:37.720,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Heroic Strike,,118.0,0,4961.0,1,1,1226.5919999999999,3900.0,5123.839077132509,,,,,,6,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:38.227,Player-4904-00822A31,BUFF,Slam!,0,,,,,1,0,0,0,,,,,,0,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:38.227,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Slam,,118.0,0,2289.0,nil,1,0,3900.0,5123.839077132509,,,,,,6,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:38.227,Player-4904-00822A31,BUFF,Bloodthirst,0,,,,,1,0,0,0,,,,,,0,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:38.698,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee OH Crit,,2136.0,1,1.0,,2,766.62,3900.0,5890.459077132509,,,,,,6,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:39.409,Player-4904-00822A31,BUFF,Berserker Stance,0,,,,,2,0,0,0,,,,,,0,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:39.409,Player-4904-00822A31,BUFF,Battle Stance,1,,,,,2,0,0,0,,,,,,0,,,,,,,14250,14246.092922867485,3.9070771325150417,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:39.762,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,982.0,nil,0,0,4910.0,4908.715897610425,982.0,981.7431795220849,1.2841023895753096,0.25682047791508467,5.0,5,,,,,,,15232,15227.83610238957,4.163897610429558,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:39.762,Player-4904-00822A31,DEBUFF,Rend,1,,,,,0,0,0,0,,,,,,0,,,,,,,15232,15227.83610238957,4.163897610429558,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:40.410,Player-4904-00822A31,BUFF,Battle Stance,0,,,,,0,0,0,0,,,,,,0,,,,,,,15232,15227.83610238957,4.163897610429558,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:40.410,Player-4904-00822A31,BUFF,Berserker Stance,1,,,,,0,0,0,0,,,,,,0,,,,,,,15232,15227.83610238957,4.163897610429558,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:40.693,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,982.0,nil,0,0,3928.0,3926.9727180883397,982.0,981.7431795220849,1.0272819116603387,0.25682047791508467,4.0,4,,,,,,,16214,16209.579281911656,4.420718088344074,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:41.374,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Melee OH Crit,,2203.0,1,1.0,,1,766.62,3928.0,4693.59271808834,,,,,,6,,,,,,,16214,16209.579281911656,4.420718088344074,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:41.708,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Bloodthirst,,118.0,0,2187.0,nil,1,0,3928.0,4693.59271808834,,,,,,6,,,,,,,16214,16209.579281911656,4.420718088344074,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:41.708,Player-4904-00822A31,BUFF,Bloodthirst,1,,,,,1,0,0,0,,,,,,0,,,,,,,16214,16209.579281911656,4.420718088344074,0.0,-0.027486539780284147,-0.8055211905576698
5/8 16:07:41.708,Player-4904-00822A31,BUFF,Slam!,1,,,,,1,0,0,0,,,,,,0,,,,,,,16214,16209.579281911656,4.420718088344074,0.0,-0.027486539780284147,-0.8055211905576698
